                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.5095,                 1.9465,                 2.0975,                0.67817,                 0.6468,                0.69008,                0.43271,                 1.3404,                 1.8358,                 2.0569,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.3686,                 1.7775,                 2.0046,                0.75237,                 0.5004,                 0.6612,                0.41013,                 1.4638,                 1.8345,                 2.1866,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4412,                 1.8523,                 2.0411,                0.76275,                0.67119,                0.76933,                0.48606,                 1.2719,                 1.5507,                 2.0541,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4144,                 1.8342,                 2.0573,                0.83419,                0.67819,                0.79016,                0.51057,                 1.3321,                 1.4511,                 2.1037,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.4184,                 1.7721,                 2.0393,                0.83235,                0.70102,                0.81482,                0.52649,                 1.3075,                 1.3937,                 2.1106,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.3612,                 1.7346,                 2.0006,                0.70123,                0.70081,                0.76568,                0.48558,                 1.3384,                 1.5209,                 2.1477,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.3925,                 1.7704,                 2.0022,                0.74716,                0.61333,                0.78021,                0.50355,                 1.2953,                 1.4743,                 2.0936,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.4008,                 1.8061,                 1.9941,                0.70625,                0.62247,                0.78353,                0.50894,                 1.2903,                 1.4789,                 2.0844,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.3188,                 1.6719,                 1.9078,                0.78052,                0.63279,                0.74569,                0.48241,                  1.308,                 1.5704,                 2.1332,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.3512,                 1.6835,                 1.9783,                0.76392,                0.70798,                0.76728,                0.49738,                 1.2587,                 1.4603,                 2.0811,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.4051,                 1.7498,                 2.0079,                0.64436,                0.68731,                0.76048,                0.50099,                 1.2442,                 1.4785,                 2.0059,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.2957,                 1.6082,                  1.912,                0.69376,                  0.757,                0.78077,                 0.5264,                 1.1976,                 1.4603,                 1.9459,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3113,                 1.6402,                 1.9167,                0.64337,                0.78582,                0.77989,                0.52808,                 1.1895,                 1.4453,                 1.9439,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.2946,                 1.6813,                 1.9328,                0.73173,                0.75292,                0.81532,                0.54023,                 1.2316,                 1.3822,                 1.9968,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.2993,                 1.6387,                 1.9195,                0.65248,                0.79049,                0.79128,                0.53387,                  1.253,                 1.3787,                 2.0167,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.2837,                  1.632,                  1.912,                0.67176,                 0.7657,                0.78022,                0.53997,                 1.2372,                 1.3571,                 1.9942,              0.0001982,              0.0001982,              0.0001982
                     90,                  1.329,                 1.7098,                 1.9564,                0.74211,                0.74846,                0.76859,                0.53743,                 1.2179,                 1.4067,                 1.9627,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.1992,                 1.6902,                 1.9292,                0.72517,                 0.6984,                0.74407,                0.51259,                 1.2252,                 1.4398,                 1.9674,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.2196,                 1.6476,                 2.0031,                0.65798,                0.76594,                0.71127,                0.47421,                 1.3405,                 1.3904,                  2.081,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.1207,                 1.4575,                 1.8392,                0.67218,                 0.7615,                0.69077,                0.47062,                 1.3384,                 1.3808,                 2.0991,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.1451,                 1.5163,                 1.9538,                0.63035,                0.69039,                0.71107,                0.46823,                 1.2996,                 1.4015,                 2.1008,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0876,                 1.4018,                 1.8804,                0.67977,                0.74267,                0.76311,                0.51178,                  1.279,                 1.3106,                 2.0707,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.0948,                 1.3517,                 1.8998,                0.71495,                0.81237,                0.80512,                 0.5348,                 1.2696,                 1.2366,                 2.0425,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0443,                 1.3659,                 1.8721,                0.72803,                0.80557,                0.81468,                0.54155,                 1.2584,                 1.2063,                 2.0205,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.0718,                 1.3342,                 1.8123,                0.75956,                0.83592,                0.84262,                0.55659,                 1.2379,                 1.1832,                 2.0041,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.0788,                  1.348,                 1.8396,                0.74876,                0.86353,                0.85438,                0.57584,                 1.2238,                 1.1664,                 1.9963,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.0338,                 1.2753,                 1.7897,                0.75076,                0.84214,                0.84973,                0.56822,                 1.2116,                 1.1527,                 1.9937,             4.2584e-05,             4.2584e-05,             4.2584e-05
